State,Year,Month,Beverage,Ethanol,Population,PerCapita,PerCapita3yr,PctChange
Texas,2017,09 Sep,Spirits,1102812,22572383,4.89,,
Virginia,2017,09 Sep,Spirits,389019,7015247,5.55,,
Wisconsin,2017,09 Sep,Spirits,493997,4805415,10.28,,
Alaska,2017,09 Sep,Wine,25682,593378,4.33,,
Arkansas,2017,09 Sep,Wine,43750,2455022,1.78,,
Colorado,2017,09 Sep,Wine,176028,4634346,3.8,,
Connecticut,2017,09 Sep,Wine,137358,3015481,4.56,,
Florida,2017,09 Sep,Wine,569997,17722275,3.22,,
Illinois,2017,09 Sep,Wine,347116,10556100,3.29,,
Kentucky,2017,09 Sep,Wine,68244,3670568,1.86,,
Louisiana,2017,09 Sep,Wine,94457,3807282,2.48,,
Massachusetts,2017,09 Sep,Wine,336527,5815595,5.79,,
Missouri,2017,09 Sep,Wine,176178,5037634,3.5,,
North Dakota,2017,09 Sep,Wine,12537,613251,2.04,,
Oregon,2017,09 Sep,Wine,193355,3468412,5.57,,
Texas,2017,09 Sep,Wine,612875,22572383,2.72,,
Virginia,2017,09 Sep,Wine,267396,7015247,3.81,,
Wisconsin,2017,09 Sep,Wine,171106,4805415,3.56,,
Alaska,2017,09 Sep,Beer,48752,593378,8.22,,
Arkansas,2017,09 Sep,Beer,217917,2455022,8.88,,
Colorado,2017,09 Sep,Beer,447429,4634346,9.65,,
Connecticut,2017,09 Sep,Beer,211723,3015481,7.02,,
Florida,2017,09 Sep,Beer,1462187,17722275,8.25,,
Illinois,2017,09 Sep,Beer,963893,10556100,9.13,,
Kansas,2017,09 Sep,Beer,244159,2356231,10.36,,
Kentucky,2017,09 Sep,Beer,358923,3670568,9.78,,
Massachusetts,2017,09 Sep,Beer,445924,5815595,7.67,,
Missouri,2017,09 Sep,Beer,468924,5037634,9.31,,
North Dakota,2017,09 Sep,Beer,68097,613251,11.1,,
Oregon,2017,09 Sep,Beer,440503,3468412,12.7,,
Texas,2017,09 Sep,Beer,2556785,22572383,11.33,,
Virginia,2017,09 Sep,Beer,560421,7015247,7.99,,
Alaska,2017,10 Oct,Spirits,54797,593378,9.23,,
Arkansas,2017,10 Oct,Spirits,125104,2455022,5.1,,
Colorado,2017,10 Oct,Spirits,436085,4634346,9.41,,
Connecticut,2017,10 Oct,Spirits,321352,3015481,10.66,,
Florida,2017,10 Oct,Spirits,1644048,17722275,9.28,,
Illinois,2017,10 Oct,Spirits,779086,10556100,7.38,,
Kansas,2017,10 Oct,Spirits,140614,2356231,5.97,,
Kentucky,2017,10 Oct,Spirits,243856,3670568,6.64,,
Louisiana,2017,10 Oct,Spirits,340181,3807282,8.94,,
Massachusetts,2017,10 Oct,Spirits,448926,5815595,7.72,,
Missouri,2017,10 Oct,Spirits,429637,5037634,8.53,,
North Dakota,2017,10 Oct,Spirits,66969,613251,10.92,,
Texas,2017,10 Oct,Spirits,1383565,22572383,6.13,,
Virginia,2017,10 Oct,Spirits,384369,7015247,5.48,,
Wisconsin,2017,10 Oct,Spirits,438771,4805415,9.13,,
Alaska,2017,10 Oct,Wine,24217,593378,4.08,,
